Pressao(kPa) Volume(L)
50.5 49.390099009900986
101.0 24.695049504950493
151.5 16.463366336633662
202.0 12.347524752475247
252.5 9.878019801980198
303.0 8.231683168316831
353.5 7.055728429985855
404.0 6.173762376237623
454.5 5.487788778877888
505.0 4.939009900990099
555.5 4.4900090009000895
606.0 4.1158415841584155
656.5 3.799238385376999
707.0 3.5278642149929276
757.5 3.2926732673267325
808.0 3.0868811881188116
858.5 2.9052999417588814
909.0 2.743894389438944
959.5 2.599478895257947
