Pressao(kPa) Volume(L)
50.5 44.94499009900991
101.0 22.472495049504953
151.5 14.981663366336635
202.0 11.236247524752477
252.5 8.988998019801981
303.0 7.4908316831683175
353.5 6.4207128712871295
404.0 5.618123762376238
454.5 4.993887788778879
505.0 4.4944990099009905
555.5 4.085908190819082
606.0 3.7454158415841587
656.5 3.4573069306930697
707.0 3.2103564356435648
757.5 2.996332673267327
808.0 2.809061881188119
858.5 2.6438229470005825
909.0 2.4969438943894393
959.5 2.3655257946847317
